Complaint ID	Date Sumbited	Product	Sub-product	Issue	Sub-issue	Company public response	Company	State	ZIP code	Tags	Consumer consent provided?	Submitted via	Date Received	Company response to consumer	Timely response?	Consumer disputed?
155479800%	4222500%	Credit card	""""""	Billing disputes	""""""		Cumulus Financial	FL	324XX		Consent provided	Web	4222500%	Closed with non-monetary relief	Yes	No
200010200%	4252800%	Credit card	""""""	Billing disputes	""""""	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	NY	117XX		Consent provided	Web	4252800%	Closed with explanation	Yes	No
289829500%	4325500%	Credit card or prepaid card	General-purpose credit card or charge card	Closing your account	Company closed your account		Cumulus Financial	IL	600XX		N/A	Referral	4328600%	Closed with explanation	Yes	N/A
236494300%	28-02-2017	Credit card	""""""	Identity theft / Fraud / Embezzlement	""""""	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	TX			Consent provided	Web	4279700%	Closed with non-monetary relief	Yes	No
226453100%	27-12-2016	Debt collection	Medical	Cont'd attempts collect debt not owed	Debt resulted from identity theft	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	DC			Consent provided	Web	27-12-2016	Closed with explanation	Yes	No
144138600%	27-06-2015	Credit card	""""""	APR or interest rate	""""""		Cumulus Financial	OR	974XX	Older American	Consent provided	Web	27-06-2015	Closed with monetary relief	Yes	No
293091100%	4331800%	Mortgage	Conventional home mortgage	Trouble during payment process	""""""	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	MD	212XX		Consent provided	Web	4344000%	Closed with explanation	Yes	N/A
290205000%	4325500%	Mortgage	Other type of mortgage	Struggling to pay mortgage	""""""		Cumulus Financial	WA	9827000%		N/A	Referral	4337800%	Closed with explanation	Yes	N/A
290409200%	4325500%	Mortgage	Conventional home mortgage	Struggling to pay mortgage	""""""		Cumulus Financial	MA	230100%		N/A	Referral	15-05-2018	Closed with explanation	Yes	N/A
289132400%	27-04-2018	Mortgage	Home equity loan or line of credit (HELOC)	Trouble during payment process	""""""	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	TX	7516000%		N/A	Referral	30-04-2018	Closed with explanation	Yes	N/A
290534900%	4325500%	Mortgage	Conventional home mortgage	Struggling to pay mortgage	""""""	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	AZ	8536400%		N/A	Referral	4340900%	Closed with explanation	Yes	N/A
290666200%	4325500%	Mortgage	Other type of mortgage	Trouble during payment process	""""""	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	MN	5506800%		N/A	Referral	14-05-2018	Closed with explanation	Yes	N/A
294933400%	28-06-2018	Debt collection	Credit card debt	Written notification about debt	Didn't receive enough information to verify debt	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	NM	8704500%		Other	Web	28-06-2018	Closed with non-monetary relief	Yes	N/A
290813500%	4325500%	Mortgage	Conventional home mortgage	Struggling to pay mortgage	""""""	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	CA	9512700%		N/A	Referral	15-05-2018	Closed with explanation	Yes	N/A
